name	group	N	mean	sd	se
1	core	500	7402.446	648.52222570894	29.002795632093
2	core	500	4968.42	696.884966772729	31.1656431640301
3	core	500	4291.794	549.346625541641	24.5675279584246
4	core	500	3961.574	480.06319361489	21.4690786883707
5	core	500	3684.702	354.981138108528	15.8752391108182
6	core	500	3530.738	340.067058923869	15.208261213244
7	core	500	3376.18	302.417639129919	13.52452797379
8	core	500	3275.548	278.942577637833	12.4746913083441
9	core	500	3177.446	260.712425906484	11.6594141381155
10	core	500	3104.018	262.310807240553	11.7308959244544
11	core	500	3032.932	248.461275426924	11.111526032618
12	core	500	2979.434	265.602769764574	11.8781169641163
13	core	500	2945.216	228.723812728404	10.2288398666729
14	core	500	2887.46	241.343642774811	10.7932158236381
15	core	500	2825.698	237.304964314227	10.6126006320954
16	core	500	2813.074	239.401819094952	10.7063748286684
17	core	500	2753.656	237.688614407249	10.6297579858469
18	core	500	2721.26	231.522486431549	10.3540003596143
19	core	500	2675.88	236.205833949934	10.5634460278816
20	core	500	2651.606	224.749878263725	10.0511201146498
21	core	500	2615.574	226.903377695483	10.1474275370282
22	core	500	2605.66	220.259821979309	9.85031869315473
23	core	500	2554.676	225.684456646761	10.0929157305453
24	core	500	2538.35	228.572303869459	10.222064184517
25	core	500	2511.798	231.22211080485	10.3405671532126
26	core	500	2475.368	222.538210395816	9.95221132072389
27	core	500	2461.152	228.877685425582	10.2357212628883
28	core	500	2457.334	215.661341162815	9.64466837917658
29	core	500	2413.296	219.972362046072	9.83746309412424
30	core	500	2402.606	228.959926756016	10.2393992069965
31	core	500	2369.414	232.488202135645	10.3971884788403
32	core	500	2351.684	229.185103720846	10.249469427003
33	core	500	2334.458	213.341870582141	9.54093850137259
34	core	500	2322.808	222.257445049113	9.93965511270482
35	core	500	2301.8	223.31927592126	9.9871416329194
36	core	500	2263.432	211.973675380006	9.47975095180334
37	core	500	2260.87	224.331090078821	10.0323913376574
38	core	500	2251.462	203.850372835102	9.11646581795928
39	core	500	2225.538	214.957059970736	9.61317196676129
40	core	500	2206.628	219.486980673959	9.81575617926309
41	core	500	2179.124	225.31848895937	10.0765491580138
42	core	500	2177.064	214.279292359921	9.5828612777467
43	core	500	2158.082	220.37258320139	9.85536152831074
44	core	500	2126.534	224.69761654669	10.0487828996116
45	core	500	2138.048	226.213099596062	10.1165573619545
46	core	500	2124.456	218.189204871012	9.75771788096423
47	core	500	2096.116	211.17692566155	9.4441192211729
48	core	500	2081.312	212.657831651518	9.51034735041002
49	core	500	2062.158	213.37935827318	9.54261500188226
50	core	500	2041.926	214.847255533835	9.60826136305844
51	core	500	2029.298	215.662917963123	9.64473889583007
52	core	500	2015.938	200.344968413827	8.95969936646732
53	core	500	2017.694	192.744081428851	8.61977736671333
54	core	500	1989.374	205.921785363702	9.2091022024272
55	core	500	1984.626	217.23590172436	9.71508486818268
56	core	500	1980.326	211.125269645691	9.44180909391478
57	core	500	1955.596	213.155857586055	9.53261974729366
58	core	500	1955.316	207.676448251401	9.28757311231698
59	core	500	1924.236	208.521227957774	9.32535280930625
60	core	500	1923.156	204.097543538763	9.12751962786792
61	core	500	1915.014	199.428185084285	8.91869956955744
62	core	500	1883.724	216.900445898255	9.70008282757026
63	core	500	1892.72	210.854881760714	9.42971698009274
64	core	500	1885.324	204.886231259006	9.16279081497761
65	core	500	1868.544	209.868734774076	9.38561514613415
66	core	500	1845.704	207.541647519022	9.28154464029666
67	core	500	1838.168	205.428404644708	9.187037545898
68	core	500	1819.6	201.169765494465	8.99658541326632
69	core	500	1825.004	207.07438176454	9.26064788048507
70	core	500	1815.104	193.364549185634	8.64752552835359
71	core	500	1801.316	211.863504249471	9.47482394906267
72	core	500	1794.518	213.053517404799	9.52804295525132
73	core	500	1766.84	204.318051410698	9.13738103969234
74	core	500	1769.028	204.922702118841	9.16442184141339
75	core	500	1763.946	206.007731541585	9.21294583235024
76	core	500	1741.916	202.817619840673	9.07027969996909
77	core	500	1748.464	199.772868784038	8.93411429322509
78	core	500	1751.164	205.808735419929	9.20404645524459
79	core	500	1727.822	192.569916293596	8.61198846507851
80	core	500	1718.736	201.758576895014	9.02291785961741
81	core	500	1705.228	199.249564098864	8.91071139624522
82	core	500	1712.936	198.495836475722	8.87700367220791
83	core	500	1685.74	197.423058755193	8.82902759405095
84	core	500	1682.194	199.173241989604	8.90729816775539
85	core	500	1688.358	196.872077924048	8.80438698219612
86	core	500	1668.792	188.005619495599	8.40786690688237
87	core	500	1657.906	191.204465060097	8.5509236295172
88	core	500	1658.384	194.354840825498	8.69181271683929
89	core	500	1651.102	187.443403872504	8.38272385985732
90	core	500	1643.458	188.118359738068	8.41290880380158
91	core	500	1631.242	188.250630904845	8.41882415020912
92	core	500	1613.004	187.347672215507	8.37844261000446
93	core	500	1609.99	184.641921508515	8.25743775978441
94	core	500	1599.08	178.359799383359	7.97649271748833
95	core	500	1601.042	194.043247240401	8.67787782808668
96	core	500	1591.614	185.344593232392	8.28886219459353
97	core	500	1569.294	190.40416764902	8.51513324124951
98	core	500	1566.182	191.855022282843	8.58001743298349
99	core	500	1548.114	175.892254446717	7.86614075317098
100	core	500	1556.874	181.104090254787	8.09922113625922
101	core	500	1552.61	192.058947144768	8.5891372300548
102	core	500	1546.13	177.863520610405	7.954298456046
103	core	500	1544.44	182.868433930672	8.17812498415823
104	core	500	1523.466	182.879475746456	8.178618789172
105	core	500	1529.306	183.619914251749	8.21173220579186
106	core	500	1523.5	184.6001854195	8.25557126514136
107	core	500	1512.422	178.224127421599	7.9704252829056
108	core	500	1498.796	183.942218818105	8.22614610418846
109	core	500	1486.358	171.542740036758	7.6716245553753
110	core	500	1502.814	182.409071986802	8.15758169350282
111	core	500	1481.124	171.969333100568	7.69070237716349
112	core	500	1467.538	175.395506565724	7.84392551257938
113	core	500	1453.716	171.98041129075	7.69119780888978
114	core	500	1458.724	175.838876375191	7.86375361324219
115	core	500	1463.884	177.581589659435	7.94169012061941
116	core	500	1447.704	167.140204858557	7.47473719673947
117	core	500	1429.884	169.177423272404	7.56584437390701
118	core	500	1441.02	177.537620840281	7.93972377524902
119	core	500	1440.276	172.923731911257	7.7333843895304
120	core	500	1418.946	166.103786892533	7.42838717623685
121	core	500	1426.316	170.319763349927	7.61693137524228
122	core	500	1413.626	167.818485907914	7.50507084742374
123	core	500	1409.436	163.256237559869	7.30104089869443
124	core	500	1401.502	165.264426472592	7.39084983710461
125	core	500	1396.242	169.943074979438	7.60008535918735
126	core	500	1393.588	166.611731863002	7.45110316589279
127	core	500	1398.652	167.851646540905	7.50655383601463
128	core	500	1377.1	167.832993858941	7.50571966271793
129	core	500	1365.106	168.839807288003	7.5507457280788
130	core	500	1352.918	162.295270373388	7.25806513963207
131	core	500	1359.092	158.188060424679	7.07438512676852
132	core	500	1347.012	152.900690313015	6.83792674693088
133	core	500	1338.998	149.277048706561	6.67587256776836
134	core	500	1342.168	163.510927533439	7.31243098057625
135	core	500	1331.122	161.555450056276	7.22497936922809
136	core	500	1341.58	163.220370599866	7.29943687948016
137	core	500	1333.35	157.083193752607	7.02497398707199
138	core	500	1307.724	153.194860077969	6.85108241875817
139	core	500	1314.076	159.434139108997	7.13011145963748
140	core	500	1307.094	159.861266142945	7.14921316129623
141	core	500	1310.174	149.052463911188	6.66582883038501
142	core	500	1300.828	152.325350617951	6.81219677356457
143	core	500	1291.874	155.631154453319	6.96003681548782
144	core	500	1293.572	156.511624466639	6.9994126315265
145	core	500	1290.988	153.90316508912	6.88275878183289
146	core	500	1278.364	153.366522044964	6.85875937530518
147	core	500	1267.998	137.932028495814	6.16850783982155
148	core	500	1269.13	154.019977297796	6.88798278261693
149	core	500	1259.262	149.664130840092	6.69318340703738
150	core	500	1258.742	144.452013500708	6.46009043348602
151	core	500	1256.072	140.596534762327	6.28766818258953
152	core	500	1249.158	147.583273718138	6.60012464751428
153	core	500	1243.148	144.036951449153	6.44152829424284
154	core	500	1236.85	135.892048323643	6.07727715306702
155	core	500	1228.816	136.277147996765	6.09449933401133
156	core	500	1227.5	140.884558833946	6.30054901065545
157	core	500	1227.416	133.65537198677	5.97724994640877
158	core	500	1216.056	134.643494477863	6.0214401276124
159	core	500	1213.622	139.179297561597	6.22428740816802
160	core	500	1215.812	134.719602875	6.0248437986055
161	core	500	1201.812	137.871875173756	6.1658177014777
162	core	500	1206.986	140.445518587753	6.2809145339485
163	core	500	1198.304	133.672931025612	5.97803521049817
164	core	500	1189.306	133.208337901849	5.95725797436592
165	core	500	1185.806	127.663873092531	5.70930197011613
166	core	500	1191.256	138.452260801484	6.19177333581294
167	core	500	1195.764	139.478043265262	6.23764772219564
168	core	500	1182.296	131.583756421178	5.88460448185055
169	core	500	1173.122	126.138483223399	5.64108446132475
170	core	500	1166	125.621963666833	5.61798500452093
171	core	500	1154.886	120.477743909633	5.38792850315501
172	core	500	1163.778	129.221147363161	5.7789453926909
173	core	500	1157.524	133.908851780494	5.98858590740257
174	core	500	1147.55	124.311440215037	5.55937661403447
175	core	500	1147.06	124.598289987204	5.57220492583241
176	core	500	1151.676	127.104737333055	5.68429665877934
177	core	500	1127.948	117.600497660938	5.25925413915323
178	core	500	1132.264	120.204794785311	5.37572184722736
179	core	500	1129.626	120.771294333836	5.40105647722187
180	core	500	1125.892	123.717648089906	5.53282142290853
181	core	500	1115.922	112.027157797421	5.01000680322259
182	core	500	1122.896	117.718513756171	5.26453197938087
183	core	500	1116.246	121.601609309966	5.43818929180909
184	core	500	1120.026	117.695104397755	5.26348508104628
185	core	500	1109.2	112.534225477441	5.03268355925695
186	core	500	1108.846	115.570911370942	5.16848828094061
187	core	500	1100.448	116.399385435919	5.20553876747829
188	core	500	1101.46	110.959670587984	4.96226732391434
189	core	500	1085.292	113.491388777534	5.07548920334844
190	core	500	1091.556	111.062616002626	4.96687118281654
191	core	500	1093.628	109.37749534972	4.89151029621281
192	core	500	1083.814	111.622338700611	4.99190274284145
193	core	500	1080.604	108.085930262182	4.83374974955082
194	core	500	1070.81	108.967618050351	4.87318002613635
195	core	500	1069.246	115.501266526122	5.1653736687946
196	core	500	1065.516	109.121054582084	4.88004191644011
197	core	500	1069.214	108.611016521436	4.85723232094567
198	core	500	1056.1	106.062512288867	4.74325974684627
199	core	500	1058.884	113.792389727608	5.08895037506161
200	core	500	1044.854	96.3724232960025	4.30990579292492
201	core	500	1049.21	101.078422995169	4.52036449751353
202	core	500	1045.648	101.319669595266	4.53115337345665
203	core	500	1041.312	101.249897478857	4.52803306955216
204	core	500	1042.318	102.059557035903	4.56424214571592
205	core	500	1038.654	103.447808978077	4.62632665996787
206	core	500	1029.328	96.5006589114327	4.31564066398969
207	core	500	1018.344	99.0637214413613	4.43026430493974
208	core	500	1025.408	95.0371171873736	4.25018908833162
209	core	500	1017.57	93.9434289116133	4.20127786171573
210	core	500	1014.832	91.5184299583646	4.09282861161913
211	core	500	1016.322	92.9250690228735	4.1557354229801
