name	group	N	mean	sd	se
1	pan	500	7402.446	648.52222570894	29.002795632093
2	pan	500	9808.968	870.539994912056	38.9317321151136
3	pan	500	11558.598	933.205925288726	41.7342377190236
4	pan	500	12944.178	989.336312380167	44.2444649418204
5	pan	500	14273.784	1008.57124947846	45.1046774797149
6	pan	500	15342.056	1022.12417862854	45.7107828971912
7	pan	500	16380.836	1093.01975713295	48.8813295539916
8	pan	500	17258.428	1106.74754713176	49.4952549863553
9	pan	500	18101.418	1084.15519380045	48.4848942299452
10	pan	500	18937.078	1070.46587160944	47.8726891302455
11	pan	500	19737.86	1139.29333140767	50.9507467067948
12	pan	500	20427.902	1211.0416707333	54.1594299868916
13	pan	500	21098.208	1165.09414446513	52.1045941442198
14	pan	500	21771.882	1180.10550124306	52.7759224280188
15	pan	500	22435.472	1172.02688161939	52.4146355751612
16	pan	500	23067.154	1302.85921055541	58.265635198272
17	pan	500	23686.164	1241.11995657035	55.5045718224579
18	pan	500	24302.238	1328.02438188226	59.3910558733173
19	pan	500	24778.892	1262.03354697225	56.4398560183026
20	pan	500	25419.278	1341.27867114307	59.9838057089299
21	pan	500	25912.016	1327.89287622362	59.3851747614748
22	pan	500	26432.952	1333.73003313961	59.6462203546645
23	pan	500	26980.306	1298.62893645305	58.0764515891456
24	pan	500	27512.384	1313.10045852263	58.7236377308549
25	pan	500	28028.862	1286.61547702779	57.5391933507493
26	pan	500	28500.56	1350.55715304732	60.3987520342481
27	pan	500	28793.846	1304.93401974037	58.3584234858302
28	pan	500	29222.148	1294.93214363117	57.9111259881764
29	pan	500	29855.414	1369.51694839746	61.2466598590959
30	pan	500	30221.592	1428.80256265942	63.8979931306473
31	pan	500	30616.554	1427.98285885173	63.8613348619389
32	pan	500	31132.662	1402.23325590428	62.7097776102567
33	pan	500	31550.794	1377.8668635799	61.6200794181816
34	pan	500	31859.71	1394.27723783036	62.3539736653866
35	pan	500	32424.66	1376.7890807039	61.5718795026673
36	pan	500	32795.572	1342.23804996787	60.0267104342985
37	pan	500	33046.924	1452.48788371148	64.9572328894736
38	pan	500	33547.324	1425.94738715208	63.7703058002053
39	pan	500	34023.976	1505.71285370739	67.3375259096982
40	pan	500	34219.79	1316.41974148504	58.872080577665
41	pan	500	34727.386	1494.74269774732	66.8469256206886
42	pan	500	35175.464	1448.27970949602	64.769037617335
43	pan	500	35442	1500.40043819972	67.0999474657007
44	pan	500	35972.49	1354.71004444088	60.5844749834315
45	pan	500	36116.684	1438.85589574545	64.3475918542636
46	pan	500	36447.756	1410.32081672085	63.0714643254166
47	pan	500	36788.92	1416.76841406002	63.3598096442557
48	pan	500	37236.684	1476.8936637185	66.0486925522658
49	pan	500	37576.116	1416.5764307344	63.351223888923
50	pan	500	37946.204	1391.41947906353	62.2261708080681
51	pan	500	38264.856	1487.6775727236	66.5309636242369
52	pan	500	38656.418	1464.18776627378	65.4804675442351
53	pan	500	38950.836	1367.24886689734	61.1452281708403
54	pan	500	39261.428	1463.16843067675	65.4348814704979
55	pan	500	39543.088	1487.17658421631	66.5085587370721
56	pan	500	39814.96	1461.89495522771	65.3779299170636
57	pan	500	40297.83	1436.48719870526	64.2416605022642
58	pan	500	40490.712	1418.84234651512	63.4525587232624
59	pan	500	40788.218	1422.22951596011	63.6040375458687
60	pan	500	41180.438	1438.86498151357	64.3479981821665
61	pan	500	41459.89	1434.26742135905	64.1423890414435
62	pan	500	41717.938	1543.12045402401	69.0104446533603
