Strain	ccoOPQ	fixAB	fixCX	fixH	fixLJK	fixS	nifABDEHKNQTWXZ	nifS	nifU	nifV	nodABCSUIJ	nodD1	nodD2	nodM	nodN	nodQ	nodT	nodW	nodX	nodY	nodZ	noeI	noeL	nolA	nolB	nolK	nolN	nolU	nolV	Sec.SRP	T1SS.Adhesin.protein.transporter	T1SS.cvaA	T1SS.hlyBD	T1SS.Multiple.protein.transporter	T2SS	T2SS.cpaABCDEF.tadBC	T2SS.DNA.T	T2SS.gspADGHIJKL	T2SS.Pilin	T3SS	T3SS.flh.fli	T3SS.yscDFJLNOQRTV	T4SS.trbBCDEFGHIJKL	T4SS.vir	T5SS	T6SS.imp	Tat.system
B. elkanii 587	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1
B. elkanii CCBAU 05737	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1
B. elkanii CCBAU 43297	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
B. japonicum CCBAU 15354	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1
B. japonicum CCBAU 15517	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1
B. japonicum CCBAU 15618	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1
B. japonicum CCBAU 25435	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1
B. japonicum CCBAU 83623	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1
B. liaoningense CCBAU 05525	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1
B. liaoningense CCBAU 83689	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1
B. diazoefficiens CCBAU 41267	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1
B. yuanmingense CCBAU 05623	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1
B. yuanmingense CCBAU 25021	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1
