Strain	fix2	group2
B. acaciae 10BB	nodule	Caesalpinioideae
B. agreste CNPSo 4010	nodule	Phaseoleae
B. algeriense RST91	nodule	Genisteae
B. altum Pear77	nodule	Other Leguminosae
B. amphicarpaeae 39S1MB	nodule	Glycine max
B. arachidis CB756	nodule	Other Leguminosae
B. arachidis CCBAU 051107	nodule	Dalbergieae
B. arachidis LMG 26795	nodule	Dalbergieae
B. arachidis USDA 3384	nodule	Phaseoleae
B. archetypum WSM 1744	nodule	Phaseoleae
B. australiense WSM 1791	nodule	Other Leguminosae
B. betae Opo-243	nodule	Other Leguminosae
B. betae PL7HG1	non-nodule	Non-leguminous
B. brasilense Arg62	nodule	Genisteae
B. brasilense Cham227	nodule	Caesalpinioideae
B. brasilense R5	Unknown	Unknown
B. brasilense UFLA0613	nodule	Glycine max
B. cajani 1010	nodule	Phaseoleae
B. campsiandrae INPA 384B	nodule	Caesalpinioideae
B. campsiandrae INPA 394B	nodule	Caesalpinioideae
B. canariense BTA-1	nodule	Genisteae
B. canariense GAS369	free-living	soil
B. canariense SZCCT0289	free-living	soil
B. canariense UBMA050	nodule	Genisteae
B. canariense UBMA051	nodule	Genisteae
B. canariense UBMA052	nodule	Genisteae
B. canariense UBMA060	nodule	Genisteae
B. canariense UBMA061	nodule	Genisteae
B. canariense UBMA122	nodule	Genisteae
B. canariense UBMA171	nodule	Genisteae
B. canariense UBMA181	nodule	Genisteae
B. canariense UBMA182	nodule	Genisteae
B. canariense UBMA183	nodule	Genisteae
B. canariense UBMA192	nodule	Genisteae
B. canariense UBMA195	nodule	Genisteae
B. canariense UBMA510	nodule	Genisteae
B. canariense UBMAN05	nodule	Genisteae
B. canariense USDA 3040	Unknown	Other palnt
B. canariense WSM471	nodule	Other Leguminosae
B. canariense WU425	nodule	Other Leguminosae
B. centrolobii BR 10245	nodule	Dalbergieae
B. cosmicum 58S1	nodule	Glycine max
B. cosmicum S23321	non-nodule	Phaseoleae
B. cytisi CTAW11	nodule	Genisteae
B. daqingense CCBAU 15774	nodule	Glycine max
B. daqingense CGMCC 1.10947	Unknown	Unknown
B. denitrificans SZCCT0094	free-living	soil
B. diazoefficiens 110spc4	nodule	Glycine max
B. diazoefficiens 113-2	nodule	Glycine max
B. diazoefficiens 172S4	nodule	Glycine max
B. diazoefficiens 182_5	nodule	Caesalpinioideae
B. diazoefficiens 36_1	nodule	Caesalpinioideae
B. diazoefficiens 38_8	nodule	Caesalpinioideae
B. diazoefficiens 41_2	nodule	Caesalpinioideae
B. diazoefficiens 65_7	nodule	Caesalpinioideae
B. diazoefficiens CB1809	nodule	Other Leguminosae
B. diazoefficiens CCBAU 41267	nodule	Glycine max
B. diazoefficiens CPAC 390	nodule	Glycine max
B. diazoefficiens CPAC 392	nodule	Glycine max
B. diazoefficiens CPAC 394	nodule	Glycine max
B. diazoefficiens F07S3	nodule	Glycine max
B. diazoefficiens H12S4	nodule	Glycine max
B. diazoefficiens HF08	nodule	Glycine max
B. diazoefficiens HH15	nodule	Glycine max
B. diazoefficiens Is-1	nodule	Glycine max
B. diazoefficiens NK6	nodule	Glycine max
B. diazoefficiens SEMIA 5080	nodule	Glycine max
B. diazoefficiens SEMIA 586	Unknown	Unknown
B. diazoefficiens SZCCT0113	free-living	soil
B. diazoefficiens SZCCT0122	free-living	soil
B. diazoefficiens SZCCT0126	free-living	soil
B. diazoefficiens SZCCT0130	free-living	soil
B. diazoefficiens SZCCT0132	free-living	soil
B. diazoefficiens SZCCT0137	free-living	soil
B. diazoefficiens SZCCT0138	free-living	soil
B. diazoefficiens SZCCT0139	free-living	soil
B. diazoefficiens SZCCT0235	free-living	soil
B. diazoefficiens SZCCT0287	free-living	soil
B. diazoefficiens SZCCT0340	free-living	soil
B. diazoefficiens SZCCT0341	free-living	soil
B. diazoefficiens SZCCT0406	free-living	soil
B. diazoefficiens SZCCT0423	free-living	soil
B. diazoefficiens SZCCT0435	non-nodule	Non-leguminous
B. diazoefficiens SZCCT0440	non-nodule	Non-leguminous
B. diazoefficiens SZCCT0449	non-nodule	Non-leguminous
B. diazoefficiens USDA 110	nodule	Glycine max
B. diazoefficiens USDA 122	nodule	Glycine max
B. diazoefficiens USDA 122-Bd	nodule	Glycine max
B. diazoefficiens XF7	nodule	Glycine max
B. diazoefficiens Y21	nodule	Phaseoleae
B. diversitatis CNPSo 4019	nodule	Phaseoleae
B. elkanii 587	nodule	Glycine max
B. elkanii BLY3-8	nodule	Glycine max
B. elkanii BLY6-1	nodule	Glycine max
B. elkanii BR29	nodule	Glycine max
B. elkanii CCBAU 05737	nodule	Glycine max
B. elkanii CCBAU 43297	nodule	Glycine max
B. elkanii NBRC 14791	nodule	Glycine max
B. elkanii SEMIA 5019	nodule	Glycine max
B. elkanii SEMIA 587	nodule	Glycine max
B. elkanii Semia 938	nodule	Genisteae
B. elkanii SZCCT0424	free-living	soil
B. elkanii TnphoA 33	Unknown	soil
B. elkanii UASWS1015	nodule	Other palnt
B. elkanii USDA 130	Unknown	Other palnt
B. elkanii USDA 406	Unknown	Other palnt
B. elkanii USDA 61	nodule	Glycine max
B. elkanii USDA 76	nodule	Glycine max
B. elkanii USDA 94	nodule	Glycine max
B. elkanii WSM2783	nodule	Other Leguminosae
B. embrapense SEMIA 6208	nodule	Desmodieae
B. erythrophlei GAS138	free-living	soil
B. erythrophlei GAS242	free-living	soil
B. erythrophlei GAS401	free-living	soil
B. erythrophlei GAS478	free-living	soil
B. erythrophlei MT12	free-living	soil
B. forestalis INPA54B	nodule	Other Leguminosae
B. frederickii CNPSo 3424	nodule	Caesalpinioideae
B. frederickii CNPSo 3426	nodule	Caesalpinioideae
B. glycinis CNPSo 4016	nodule	Phaseoleae
B. guangdongense CCBAU 51649	nodule	Dalbergieae
B. guangdongense CCBAU 51658	nodule	Dalbergieae
B. guangdongense CGMCC 1.15034	nodule	Dalbergieae
B. guangdongense SM32	non-nodule	Non-leguminous
B. guangdongense XS1150	nodule	Dalbergieae
B. guangxiense CCBAU 53363	nodule	Dalbergieae
B. guangzhouense CCBAU 51670	nodule	Dalbergieae
B. guangzhouense CCBAU 53424	nodule	Dalbergieae
B. guangzhouense CCBAU 53426	nodule	Dalbergieae
B. hipponense aSej3	nodule	Genisteae
B. huanghuaihaiense CGMCC 1.10948	Unknown	Unknown
B. icense LMTR 13	nodule	Phaseoleae
B. iriomotense SZCCT0007	free-living	soil
B. iriomotense SZCCT0346	free-living	soil
B. ivorense Arg68	nodule	Genisteae
B. ivorense CI-1B	nodule	Phaseoleae
B. ivorense CI-41S	nodule	Phaseoleae
B. japonicum 22	free-living	soil
B. japonicum 5038	nodule	Glycine max
B. japonicum 5873	nodule	Glycine max
B. japonicum CC829	nodule	Other Leguminosae
B. japonicum CCBAU 15354	nodule	Glycine max
