ID	group4
ccoOPQ	nif/fix
fixAB	nif/fix
fixCX	nif/fix
fixH	nif/fix
fixLJK	nif/fix
fixS	nif/fix
nifABDEHKNQTWXZ	nif/fix
nifS	nif/fix
nifU	nif/fix
nifV	nif/fix
nodABCSUIJ	nod
nodD1	nod
nodD2	nod
nodM	nod
nodN	nod
nodQ	nod
nodT	nod
nodW	nod
nodX	nod
nodY	nod
nodZ	nod
noeI	nod
noeL	nod
nolA	nod
nolB	nod
nolK	nod
nolN	nod
nolU	nod
nolV	nod
Sec.SRP	Sec.SRP
T1SS.Adhesin.protein.transporter	T1SS
T1SS.cvaA	T1SS
T1SS.hlyBD	T1SS
T1SS.Multiple.protein.transporter	T1SS
T2SS	T2SS
T2SS.cpaABCDEF.tadBC	T2SS
T2SS.DNA.T	T2SS
T2SS.gspADGHIJKL	T2SS
T2SS.Pilin	T2SS
T3SS	T3SS
T3SS.flh.fli	T3SS
T3SS.yscDFJLNOQRTV	T3SS
T4SS.trbBCDEFGHIJKL	T4SS
T4SS.vir	T4SS
T5SS	T5SS
T6SS.imp	T6SS
Tat.system	Tat
