genome,completeness,contamination,strain_heterogeneity,length,N50
GCF_000257685.1.fna,90.43,2.39,0.0,8678542,6929
GCF_000261505.1.fna,99.83,0.59,0.0,9773178,25010
GCF_000261525.1.fna,99.32,0.51,14.29,9347700,25032
GCF_000261545.1.fna,99.31,0.71,0.0,10126594,20991
GCF_000261565.1.fna,99.65,1.74,0.0,9917031,16836
GCF_000261585.1.fna,99.65,0.69,0.0,9824012,28568
GCF_000261605.1.fna,99.59,0.6,0.0,9460795,34354
GCF_000261625.1.fna,99.54,0.86,0.0,10074298,16446
GCF_000261645.1.fna,99.4,1.86,10.0,8164124,16180
GCF_000261665.1.fna,99.12,1.97,9.09,8009819,13248
GCF_000261765.1.fna,99.6,0.95,0.0,9121826,30035
GCF_000261785.1.fna,99.72,1.63,10.0,8245751,28696
GCF_000261805.1.fna,99.44,1.87,0.0,7990949,31878
GCF_000261825.1.fna,99.74,1.53,12.5,7854129,31040
GCF_000284275.1.fna,99.96,0.52,0.0,7231841,7231841
GCF_000284375.1.fna,100.0,0.15,0.0,9207384,9207384
GCF_000344805.1.fna,99.35,0.27,0.0,8264165,8264165
GCF_000421305.1.fna,100.0,0.15,0.0,7588794,378224
GCF_000426845.1c.fna,100.0,0.15,0.0,7589915,378302
GCF_000472685.1.fna,100.0,0.0,0.0,9800269,376385
GCF_000472725.1.fna,99.96,0.0,0.0,8737671,274635
GCF_000472745.1.fna,99.7,0.0,0.0,9608975,349838
GCF_000472865.1.fna,99.6,0.75,0.0,9902361,101503
GCF_000472945.1.fna,99.76,0.6,0.0,7703324,26112
GCF_000472965.1.fna,100.0,0.5,0.0,7952346,311400
GCF_000482425.1.fna,99.81,0.3,0.0,7504559,4949936
GCF_000482525.1.fna,99.85,0.69,0.0,10457665,55934
GCF_000519225.1.fna,99.96,0.1,0.0,9558895,138573
GCF_000661935.1.fna,99.93,0.3,0.0,9583027,9583027
GCF_000773865.1.fna,100.0,1.63,0.0,10326597,472902
GCF_000807315.1.fna,100.0,0.22,0.0,9224208,9224208
GCF_000878305.1.fna,97.87,0.68,37.5,7820754,315183
GCF_001038185.1.fna,100.0,0.15,0.0,9138496,408323
GCF_001189235.2.fna,99.96,0.74,0.0,8267832,809967
GCF_001189245.1.fna,99.26,0.82,33.33,8711973,202254
GCF_001189845.1.fna,98.4,2.37,0.0,9767314,111450
GCF_001238275.1.fna,97.9,0.3,0.0,8811922,138766
GCF_001280585.1.fna,99.99,0.3,0.0,8983878,358317
GCF_001439885.1.fna,99.8,0.52,0.0,7904309,396548
GCF_001440015.1.fna,98.93,0.61,0.0,8965178,174050
GCF_001440035.1.fna,98.53,1.29,0.0,9145311,225542
GCF_001440385.1.fna,100.0,1.95,0.0,9146476,104988
GCF_001440395.1.fna,98.52,1.36,0.0,8738846,84855
GCF_001440405.1.fna,98.05,1.74,0.0,8845258,72962
GCF_001440415.1.fna,99.85,2.91,56.52,8466225,131222
GCF_001440475.1.fna,99.54,0.58,0.0,8817291,160353
GCF_001542415.1.fna,98.89,1.31,14.29,8722143,173122
GCF_001549695.1.fna,99.29,0.6,0.0,10475157,9780023
GCF_001595995.1.fna,99.65,0.59,0.0,8590559,188836
GCF_001641335.1.fna,100.0,0.09,0.0,8801717,1501053
GCF_001641635.1.fna,99.82,3.39,38.1,10111113,140269
GCF_001641695.1.fna,99.59,1.26,37.5,8679329,154093
GCF_001642675.1.fna,99.99,0.3,0.0,9106064,9106064
GCF_001693385.1.fna,99.9,1.66,27.78,8322773,8322773
GCF_001693515.2.fna,100.0,1.2,0.0,8377719,8377719
GCF_001718185.1.fna,100.0,0.22,0.0,9202572,363283
GCF_001718205.1.fna,100.0,0.22,0.0,9198916,302740
GCF_001868735.1.fna,98.53,0.57,0.0,9529806,21699
GCF_001887695.1.fna,100.0,0.3,0.0,10138651,10138651
GCF_001908315.1.fna,99.99,0.3,0.0,9136536,9136536
GCF_001982635.1.fna,99.67,3.99,34.48,8842857,1006110
GCF_002068095.1.fna,98.31,1.19,66.67,8698798,314112
GCF_002108675.1.fna,99.99,0.04,0.0,8299015,270609
GCF_002108695.1.fna,99.99,0.0,0.0,8273379,146548
GCF_002108725.1.fna,99.99,0.25,0.0,8291234,202032
GCF_002108745.1.fna,99.99,0.4,0.0,8294491,140764
GCF_002108755.1.fna,99.99,0.15,0.0,8267021,102328
GCF_002108775.1.fna,99.99,0.71,0.0,8274608,171855
GCF_002108805.1.fna,99.69,0.17,0.0,8376411,168481
GCF_002108825.1.fna,99.99,0.3,0.0,8214782,199090
GCF_002108845.1.fna,99.99,0.3,0.0,8216640,152760
GCF_002108865.1.fna,99.99,0.31,0.0,8287509,239857
GCF_002108875.1.fna,99.99,0.89,25.0,8288770,201886
GCF_002108905.1.fna,99.69,0.02,0.0,8367860,188349
