reference,querry,ani,alignment_coverage,primary_cluster
GCF_000257685.1.fna,GCF_000257685.1.fna,1.0,0.9815983175604627,39
GCF_000261505.1.fna,GCF_000257685.1.fna,0.954202,0.5482093663911846,39
GCF_000261525.1.fna,GCF_000257685.1.fna,0.9841530000000001,0.5872733736224671,39
GCF_000519225.1.fna,GCF_000257685.1.fna,0.953177,0.5185304543989687,39
GCF_001189235.2.fna,GCF_000257685.1.fna,0.892332,0.4881343556042351,39
GCF_001189245.1.fna,GCF_000257685.1.fna,0.9374290000000001,0.5196078431372549,39
GCF_001189845.1.fna,GCF_000257685.1.fna,0.8949739999999999,0.44075829383886256,39
GCF_001238275.1.fna,GCF_000257685.1.fna,0.893355,0.4693806541405706,39
GCF_001440015.1.fna,GCF_000257685.1.fna,0.93971,0.5108917631041525,39
GCF_001718185.1.fna,GCF_000257685.1.fna,0.9658329999999999,0.5280898876404494,39
GCF_001718205.1.fna,GCF_000257685.1.fna,0.967186,0.5250248591315877,39
GCF_001868735.1.fna,GCF_000257685.1.fna,0.9918770000000001,0.6439255746078074,39
GCF_001982635.1.fna,GCF_000257685.1.fna,0.902404,0.4465753424657534,39
GCF_004152955.1.fna,GCF_000257685.1.fna,0.98556,0.5600526488976637,39
GCF_005298095.1.fna,GCF_000257685.1.fna,0.9508530000000001,0.5223106191629194,39
GCF_006539665.1.fna,GCF_000257685.1.fna,0.983903,0.5712830957230143,39
GCF_007993935.1.fna,GCF_000257685.1.fna,0.8987189999999999,0.45597807468311063,39
GCF_009759865.1.fna,GCF_000257685.1.fna,0.933279,0.5088075880758808,39
GCF_010811875.1.fna,GCF_000257685.1.fna,0.893455,0.4552763819095477,39
GCF_011516645.4.fna,GCF_000257685.1.fna,0.896144,0.4031141868512111,39
GCF_012689435.1.fna,GCF_000257685.1.fna,0.948708,0.532520325203252,39
GCF_012871055.1.fna,GCF_000257685.1.fna,0.978359,0.5275272161741835,39
GCF_013373785.3.fna,GCF_000257685.1.fna,0.895165,0.3982574480044969,39
GCF_013373795.3.fna,GCF_000257685.1.fna,0.900038,0.4401178010471204,39
GCF_013392745.1.fna,GCF_000257685.1.fna,0.986226,0.5756469807564698,39
GCF_013392765.1.fna,GCF_000257685.1.fna,0.9921420000000001,0.6035797149486245,39
GCF_017493175.3.fna,GCF_000257685.1.fna,0.898229,0.4742798353909465,39
GCF_017834125.1.fna,GCF_000257685.1.fna,0.9761960000000001,0.5164702326987005,39
GCF_017876705.1.fna,GCF_000257685.1.fna,0.984238,0.5347826086956522,39
GCF_018129445.1.fna,GCF_000257685.1.fna,0.896608,0.4806262230919765,39
GCF_018129505.1.fna,GCF_000257685.1.fna,0.896146,0.4674285714285714,39
GCF_018129535.1.fna,GCF_000257685.1.fna,0.895912,0.4821917808219178,39
GCF_018129585.1.fna,GCF_000257685.1.fna,0.897002,0.47984344422700587,39
GCF_018129745.1.fna,GCF_000257685.1.fna,0.896002,0.4837700430191631,39
GCF_018129885.1.fna,GCF_000257685.1.fna,0.8958889999999999,0.4812353401094605,39
GCF_018129905.1.fna,GCF_000257685.1.fna,0.896282,0.4806565064478312,39
GCF_018130025.1.fna,GCF_000257685.1.fna,0.8961920000000001,0.46648895658796646,39
GCF_018130545.1.fna,GCF_000257685.1.fna,0.899757,0.46855910887531443,39
GCF_018131045.1.fna,GCF_000257685.1.fna,0.956314,0.5371086880056278,39
GCF_020889685.1.fna,GCF_000257685.1.fna,0.8980830000000001,0.47440519105984136,39
GCF_020889705.1.fna,GCF_000257685.1.fna,0.8988710000000001,0.44841537424140254,39
GCF_020889715.1.fna,GCF_000257685.1.fna,0.936267,0.5515363671723065,39
GCF_020889755.1.fna,GCF_000257685.1.fna,0.937859,0.5178635871526525,39
GCF_020889785.1.fna,GCF_000257685.1.fna,0.8951709999999999,0.5084809649453449,39
GCF_023278185.1.fna,GCF_000257685.1.fna,0.984094,0.5419293820933165,39
GCF_900101405.1.fna,GCF_000257685.1.fna,0.9382699999999999,0.49660084169634183,39
GCF_900105845.1.fna,GCF_000257685.1.fna,0.902908,0.43172690763052207,39
GCF_000257685.1.fna,GCF_000261505.1.fna,0.958475,0.8427970557308097,39
GCF_000261505.1.fna,GCF_000261505.1.fna,1.0,0.9893250688705234,39
GCF_000261525.1.fna,GCF_000261505.1.fna,0.958171,0.7756843227870601,39
GCF_000519225.1.fna,GCF_000261505.1.fna,0.9665600000000001,0.7708669029970996,39
GCF_001189235.2.fna,GCF_000261505.1.fna,0.9009910000000001,0.7031763417305587,39
GCF_001189245.1.fna,GCF_000261505.1.fna,0.945641,0.7496498599439776,39
GCF_001189845.1.fna,GCF_000261505.1.fna,0.9022910000000001,0.6287519747235387,39
GCF_001238275.1.fna,GCF_000261505.1.fna,0.901561,0.6882393876130828,39
GCF_001440015.1.fna,GCF_000261505.1.fna,0.9463379999999999,0.7413206262763785,39
GCF_001718185.1.fna,GCF_000261505.1.fna,0.9491200000000001,0.7412425644415069,39
GCF_001718205.1.fna,GCF_000261505.1.fna,0.95001,0.7391448458733841,39
GCF_001868735.1.fna,GCF_000261505.1.fna,0.961032,0.7916818679314119,39
GCF_001982635.1.fna,GCF_000261505.1.fna,0.910475,0.6575342465753424,39
GCF_004152955.1.fna,GCF_000261505.1.fna,0.959833,0.7736097400460678,39
GCF_005298095.1.fna,GCF_000261505.1.fna,0.9489730000000001,0.7599446558284331,39
GCF_006539665.1.fna,GCF_000261505.1.fna,0.959652,0.7769857433808554,39
GCF_007993935.1.fna,GCF_000261505.1.fna,0.9057580000000001,0.6687221651250428,39
GCF_009759865.1.fna,GCF_000261505.1.fna,0.941417,0.7452574525745257,39
GCF_010811875.1.fna,GCF_000261505.1.fna,0.900537,0.6438860971524288,39
GCF_011516645.4.fna,GCF_000261505.1.fna,0.902743,0.5980392156862745,39
GCF_012689435.1.fna,GCF_000261505.1.fna,0.953243,0.7781165311653117,39
GCF_012871055.1.fna,GCF_000261505.1.fna,0.9594079999999999,0.7371695178849145,39
GCF_013373785.3.fna,GCF_000261505.1.fna,0.902198,0.5848791455874086,39
GCF_013373795.3.fna,GCF_000261505.1.fna,0.9069750000000001,0.650523560209424,39
GCF_013392745.1.fna,GCF_000261505.1.fna,0.9604689999999999,0.7886529528865295,39
GCF_013392765.1.fna,GCF_000261505.1.fna,0.961552,0.7759363606231355,39
GCF_017493175.3.fna,GCF_000261505.1.fna,0.906866,0.6838134430727023,39
GCF_017834125.1.fna,GCF_000261505.1.fna,0.9584090000000001,0.723179208220006,39
GCF_017876705.1.fna,GCF_000261505.1.fna,0.962252,0.7481366459627329,39
GCF_018129445.1.fna,GCF_000261505.1.fna,0.903535,0.6982387475538161,39
GCF_018129505.1.fna,GCF_000261505.1.fna,0.902682,0.6780952380952381,39
GCF_018129535.1.fna,GCF_000261505.1.fna,0.902941,0.6990215264187867,39
GCF_018129585.1.fna,GCF_000261505.1.fna,0.903924,0.6939334637964775,39
GCF_018129745.1.fna,GCF_000261505.1.fna,0.903853,0.6953461087211577,39
GCF_018129885.1.fna,GCF_000261505.1.fna,0.90306,0.7013291634089132,39
